iter	Passed	Remaining
426	1680	2255
427	1683	2250
428	1686	2245
429	1689	2240
430	1696	2239
431	1700	2235
432	1703	2231
433	1706	2225
434	1714	2226
435	1717	2221
436	1720	2216
437	1726	2215
438	1729	2210
439	1733	2206
440	1736	2201
441	1742	2200
442	1746	2196
443	1749	2191
444	1753	2187
445	1760	2186
446	1774	2195
447	1779	2192
448	1783	2188
449	1790	2188
450	1794	2184
451	1797	2179
452	1801	2175
453	1807	2174
454	1810	2169
455	1813	2163
456	1815	2157
457	1818	2151
458	1820	2146
459	1823	2140
460	1826	2135
461	1829	2130
462	1834	2127
463	1836	2121
464	1839	2116
465	1842	2111
466	1845	2106
467	1850	2103
468	1854	2099
469	1857	2094
470	1860	2089
471	1866	2087
472	1869	2082
473	1871	2076
474	1873	2071
475	1876	2065
476	1880	2062
477	1884	2057
478	1886	2052
479	1889	2046
480	1894	2043
481	1896	2038
482	1900	2033
483	1903	2028
484	1906	2024
485	1911	2022
486	1915	2017
487	1918	2013
488	1927	2014
489	1931	2010
490	1935	2006
491	1941	2004
492	1945	2000
493	1948	1995
494	1952	1991
495	1957	1989
496	1960	1984
497	1962	1978
498	1965	1973
499	1968	1968
500	1974	1966
501	1977	1962
502	1981	1957
503	1984	1952
504	1991	1951
505	1994	1947
506	1997	1942
507	2003	1940
508	2006	1935
509	2009	1930
510	2013	1926
511	2022	1927
512	2025	1922
513	2028	1918
514	2033	1915
515	2037	1910
516	2040	1906
517	2044	1902
518	2050	1900
519	2053	1895
520	2056	1891
521	2060	1886
522	2067	1885
523	2069	1880
524	2072	1874
525	2074	1869
526	2078	1865
527	2082	1861
528	2085	1856
529	2088	1851
530	2092	1848
531	2095	1843
532	2098	1838
533	2101	1833
534	2104	1828
535	2108	1825
536	2111	1820
537	2114	1815
538	2117	1810
539	2119	1805
540	2125	1802
541	2127	1797
542	2130	1792
543	2132	1787
544	2135	1782
545	2140	1780
546	2144	1775
547	2147	1770
548	2150	1766
549	2152	1761
550	2155	1756
551	2158	1751
552	2160	1746
553	2163	1741
554	2168	1739
555	2172	1734
556	2174	1729
557	2177	1724
558	2180	1720
559	2186	1717
560	2188	1712
561	2191	1707
562	2194	1703
563	2199	1700
564	2202	1695
565	2205	1690
566	2207	1686
567	2210	1681
568	2215	1678
569	2218	1673
570	2222	1669
571	2225	1665
572	2231	1663
573	2234	1658
574	2238	1654
575	2241	1649
576	2243	1644
577	2248	1641
578	2251	1636
579	2253	1631
580	2256	1627
581	2259	1622
582	2264	1620
583	2267	1615
584	2273	1612
585	2278	1609
586	2281	1605
587	2284	1600
588	2287	1596
589	2289	1591
590	2292	1586
591	2297	1583
592	2300	1578
593	2302	1573
594	2306	1570
595	2309	1565
596	2311	1560
597	2314	1555
598	2317	1551
599	2322	1548
600	2325	1543
601	2327	1539
